Year,FRA,GER,GR,ITA,IRL,GBR
1995,15.17199604,15.00872738,9.76971709,9.84159097,11.6282767,13.04890816
1996,15.14647422,17.41139763,10.27663008,9.97158735,11.81309897,13.42889738
1997,15.06682195,17.16948197,9.937587,10.83885151,12.87347872,13.08759485
1998,15.29192071,17.1338365,9.83020521,11.07992953,13.21966618,13.53100591
1999,15.3365972,17.15273602,10.35115865,11.50937937,13.34108039,14.26492751
2000,15.48847666,18.33434413,10.11712249,12.74343723,14.708385,15.06903051
2001,15.69061875,17.49875097,11.78470937,12.82134738,15.33598539,14.34874949
2002,15.9105676,17.68069019,11.69031418,13.193121,16.03638869,14.64530814
2003,15.69517619,17.68304635,11.93596474,12.93627272,16.84677054,14.73703629
2004,15.92169895,17.39831656,11.27420177,13.83987307,17.3105642,15.09244548
2005,15.91546588,17.65499066,13.02146242,14.22315405,16.96852216,15.23286419
2006,15.90135218,17.92364361,13.32080373,14.25982374,16.45598796,15.53269905
2007,15.91296616,18.38960597,12.46356304,13.96735511,16.21955512,15.56366725
2008,15.8294914,18.56280836,11.99628503,14.44175788,15.84914572,15.19945465
2009,15.85973744,18.69411221,12.91232134,14.29738407,14.99787573,15.91659051
2010,15.83407572,18.52863591,12.2907731,14.7126243,9.79097835,15.78457008
2011,15.94796233,19.05247529,12.72047061,14.35036508,12.55654823,16.06319634
2012,15.84313624,19.34334321,11.6629083,14.04329087,14.07499585,16.17716965
2013,15.84313624,19.42205653,11.6629083,14.02608661,14.07499585,16.17716965
